

Anlage  
 
Herkunftsländer der in den Jahren 2006 - 2008 eingebürgerten Migranten und 
Migrantinnen 
 
Heimatland 2006 2007 2008 
Ägypten 1 0 0 
Afghanistan 7 0 8 
Albanien 1 8 1 
Algerien 2 4 3 
Argentinien 2 0 0 
Armenien 0 1 1 
Äthiopien 2 0 1 
Aserbaidschan 3 0 0 
Bangladesh 0 1 0 
Belgien 0 0 1 
Benin 2 0 0 
Bosnien 14 9 9 
Brasilien 2 5 11 
Großbritannien 2 1 1 
Bulgarien 2 1 4 
China 13 8 9 
Cote d Ivoire 1 0 0 
Dominikanische 
Republik 0 1 1 
Ecuador 1 6 0 
Eritrea 4 2 1 
Estland 1 0 0 
Finnland 0 0 1 
Frankreich 3 5 5 
Gambia 0 1 0 
Georgien 6 1 5 
Ghana 3 1 2 
Griechenland 13 11 11 
Guatemala 0 1 0 
Haiti 1 0 0 
Heimatloser Ausländer 1 0 0 
Indien 0 2 6 
Indonesien 0 1 3 
Irak 10 19 29 
Iran 11 7 8 
Italien 9 8 9 
Jemen 1 0 0 
Jordanien 0 3 1 
Kamerun 3 8 6 
Kanada 0 0 1 
Kasachstan 10 10 11 
Kenia 1 1 1 
Kirgisien 0 1 2 
Kolumbien 1 1 1 
Kosovo 0 0 1 
Kroatien 15 23 11 
Kuba 6 0 1 
Lettland 0 0 2 
Libanon 0 1 2 
Litauen 0 1 2 

Luxemburg 0 0 1 
Mali 0 0 1 
 
Heimatland 2006 2007 2008 
Marokko 21 6 14 
Mazedonien 3 1 4 
Mexiko 1 1 0 
Moldau 18 7 1 
Myanmar 1 0 0 
Nepal 0 2 0 
Niceragua 0 0 1 
Niederlande 2 1 0 
Nigeria 1 1 1 
Österreich 0 2 3 
Pakistan 8 6 7 
Peru 3 3 1 
Philippinen 1 2 3 
Polen 59 27 17 
Portugal 1 0 0 
Rumänien 23 31 16 
Russland 44 34 12 
Sambia 1 0 0 
Schweden 1 1 0 
Schweiz 0 0 3 
Senegal 0 0 1 
Serbien 9 20 16 
Sierra Leone 0 2 2 
Slowakei 0 1 4 
Slowenien 0 1 0 
Somalia 8 0 5 
Spanien 2 0 0 
Sri Lanka 7 9 11 
Staatenlos 3 1 3 
Südafrika 0 0 1 
Syrien 5 2 5 
Thailand 2 1 3 
Togo 1 0 2 
Tschechien 0 1 0 
Tunesien 5 4 5 
Türkei 93 61 51 
Uganda 1 0 0 
Ukraine 32 25 9 
Ungarn 5 4 2 
Uruguay 0 0 1 
USA 2 0 0 
Usbekistan 3 4 2 
Vietnam 6 2 5 
Weißrussland 2 2 1 
gesamt 528 418 386 
 
 
