

Anlage 3
Einzeleintritte/Tageskartenpreise in deutschen Zoos 2025
Zoo Erwachsene
Kinder
4-14 J.*
Hamburg Tierpark inkl. Aqu.45,00 €        33,00 €        
Berliner Zoo inkl. Aquarium36,50 €        17,00 €        **
Osnabrück30,00 €        20,50 €        
Münster28,90 €        17,90 €        **
Hannover28,05 €        18,05 €        **
Leipzig24,00 €        16,00 €        
Rostock24,00 €        10,00 €        
Köln23,00 €        11,00 €        
Stuttgart23,00 €        9,00 €          
Berliner Tierpark22,50 €        11,00 €        
Gelsenkirchen21,50 €        14,00 €        
Duisburg inkl. Delphinarium20,00 €        11,50 €        
Nürnberg inkl. Delphinarium20,00 €        9,40 €          
München20,00 €        8,00 €          
Wuppertal20,00 €        -   €            
Dresden19,00 €        10,00 €        
Kronberg17,00 €        9,50 €          
Heidelberg16,00 €        8,00 €          
Augsburg15,00 €        7,50 €          
Karlsruhe ab 01.01.202615,00 €        6,50 €          
Karlsruhe aktuell14,00 €        6,00 €          
Frankfurt13,00 €        6,00 €          
Landau12,00 €        5,50 €          
Dortmund11,50 €        7,00 €          
*Eingruppierung soweit Eintrittspreise vergleichbar.
** Dynamische Preisgestaltung 
