Bauwerke mit der Benotung 1,5 bis 1,9
TYP 	BESCHREIBUNG 	BWNR_Ne Zustands- Note
1 Fußgänger-UF 	Geh- und Radwegunterführung beim Germania Neureut unter der K 9658 	E07-04 	1,9
2 Stützwand 	Stützwand K9658 - Grasgärten 	E07-204 	1,8
3 Lärmschutzwand 	Lärmschutzwand Linkenheimer Landstraße zwischen Kiefernweg und Moldaustraße bei Neureut 	E09-101 	1,6
4 Lärmschutzwand 	Lärmschutzwand im Zuge der Linkenheimer Landstraße zwischen Kiefernweg und Moldaustraße bei Neureut 	E09-102 	1,7
5 Feldwegbrücke 	Überbrückung des Schmutzwasserkanals beim Klärwerk in Neureut unter der B 36 	F07-01 	1,6
6 Gleisbrücke 	Stadtbahnbrücke ü.d. DB-Hauptstrecke KA-Mannheim 	F13-07 	1,9
7 Straßenbrücke 	Fuß- und Radwegunterführung Lachenweg Rampe W 	F13-08 	1,7 bis 1,8
10 Lärmschutzwand 	Lärmschutzwand a.d. DB Strecke KA-MA BA 5 LSW Reitschulschlagsiedlung Westseite 	F13-103 	1,7
11 Wirtschaftswegbrücke 	Wirtschaftswegbrücke ü.d. Weidgraben im Gewann 'Hasenbrüchle' 	F16-03 	1,9
12 Durchlass 	Durchlaß Willichgraben 	G03-02 	1,6
13 Stützwand 	Hochwasserwand bei der Schützenvereinigung 	G03-201 	1,7
14 Straßenbrücke 	Burgaubrücke - Straßenbrücke ü.d. Alb i.Z.d. Eggensteiner Straße 	G04-02 	1,9
15 Stützwand 	Hochwasserschutzwand Sängerhalle in Knielingen 	G04-202 	1,7
16 Fußgängerbrücke 	Fußgängerbrücke B36 am Friedhof (Nordweststadt) 	G06-01 	1,8
17 Stützwand 	STW Friedrich-Naumann-Str Rampe 	G07-203 	1,7
18 Lärmschutzwand 	LSW auf vorhandenem Lärmschutzwall Waldeckstraße Nr. 46 	G13-103 	1,7
19 Gleisbrücke 	Überbau der Stadtbahnüberführung Geroldsäcker 	G13-11 	1,6
20 Feldwegbrücke 	Federbachbrücke ü.d. Wassergraben im Bereich des HWD VIII a 	H03-02 	1,8
21 Lärmschutzwand 	Lärmschutzwand im Bereich DB Strecke 4020 	H13-103 	1,9
22 Lärmschutzwand 	Lärmschutzwand westlich der DB südlich vom Bahnhof in verl. Neubrunnenstr. 	H13-104 	1,9
23 Straßenbrücke 	Brücke über die Alb im Zuge der Südlichen Uferstraße; Zufahrt zum städtischen E-Werk 	J05-05 	1,9
24 Stützwand 	Gabionen STW Radwegrampe Honsellstr 	J06-202 	1,7
25 Verkehrszeichenbrücke 	Starckstraße 	J06-401 	1,9
26 Verkehrszeichenbrücke 	B 10 Ausfahrt Rheinhafen 	J06-404 	1,8
27 Lärmschutzwand 	Lärmschutzwand zw. Südl. Hildapromenade und Hoffstr. Straßenbahn Nordstadt 	J08-101 	1,8
28 Durchlass 	Durchlaß beim 'Grünen Wasser i.Z. des Waidweges' 	K02-01 	1,5
29 Straßenbrücke 	Straßenbrücke ü.d. Alter Federbach i.Z. d. Badenwerkzufahrt 	K03-03 	1,5
30 Fußgängerbrücke 	Fußgängersteg ü.d. Alter Fderbach i.Z.d. Fritschlachweges 	K04-03 	1,8
31 Straßenbrücke 	Straßenbrücke ü.d. Werkkanal b.d. Appenmühle i.Z.d. Kornweges 	K05-02 	1,9
32 Lärmschutzwand 	Lärmschutzwand mittig der B10 im Bereich Hardtschule 	K06-102 	1,7
33 Fußgängerbrücke 	Geh-und Radwegbrücke ü.d. Alb südl der Blohnstr 	K06-23 	1,9
34 Verkehrszeichenbrücke 	Südtangente FR Osten bei Ausfahrt Westbhf. 	K06-405 	1,8
35 Straßenbrücke 	Straßenbrücke ü.d. Alb i.Z.d. Kriegsstraße (B 10) beim 'Kühlen Krug' ( westl. Seite ) 	K07-01.2 	1,9
36 Stützwand 	Stützmauer im Bereich der Abfahrtsrampe West im Zuge der Verbindung Kriegstraße (B 10) zur Südtangente (BW16) 	K07-202 	1,7
37 Verkehrszeichenbrücke 	VZB Kriegsstr Station 300 	K09-406 	1,7

-- 1 of 15 --

38 Stützwand 	Stützmauer unter der Hubbrücke in Durlach 	K14-206 	1,6
39 Fußgänger-UF 	Rad- und Gehwegunterführung unter den Stadtbahngleisen bei Stadtbahn-km 1+505 	K15-10 	1,7
40 Stützwand 	STW Oberausstr 	K17-206 	1,9
41 Fußgängerbrücke 	Fußgängerbrücke ü.d. Bannwaldallee, K 9657 bei der Junker-und-Ruih-Straße (BW 23a) 	L07-03 	1,9
42 Durchlass 	Verdolung des Malscher Landgrabens bei der Hochbrücke Bulach 	L08-08 	1,8
